gene	length	chrom	start	end	tss	scaling_factor
5SrRNA:CR33355	134	2R	19765409	19765543	-	0.00746268656716418
5SrRNA:CR33357	134	2R	19764648	19764782	-	0.00746268656716418
5SrRNA:CR33358	134	2R	19764289	19764423	-	0.00746268656716418
5SrRNA:CR33359	134	2R	19763913	19764047	-	0.00746268656716418
5SrRNA:CR33360	134	2R	19763544	19763678	-	0.00746268656716418
5SrRNA:CR33361	134	2R	19763175	19763309	-	0.00746268656716418
5SrRNA:CR33362	134	2R	19762802	19762936	-	0.00746268656716418
5SrRNA:CR33364	134	2R	19762068	19762202	-	0.00746268656716418
5SrRNA:CR33365	134	2R	19761702	19761836	-	0.00746268656716418
5SrRNA:CR33366	134	2R	19761343	19761477	-	0.00746268656716418
5SrRNA:CR33367	134	2R	19760967	19761101	-	0.00746268656716418
5SrRNA:CR33368	134	2R	19760591	19760725	-	0.00746268656716418
5SrRNA:CR33369	134	2R	19760215	19760349	-	0.00746268656716418
5SrRNA:CR33370	134	2R	19759842	19759976	-	0.00746268656716418
5SrRNA:CR33372	134	2R	19759101	19759235	-	0.00746268656716418
5SrRNA:CR33373	134	2R	19758735	19758869	-	0.00746268656716418
5SrRNA:CR33374	134	2R	19758362	19758496	-	0.00746268656716418
5SrRNA:CR33375	134	2R	19757993	19758127	-	0.00746268656716418
5SrRNA:CR33376	134	2R	19757624	19757758	-	0.00746268656716418
5SrRNA:CR33377	134	2R	19757255	19757389	-	0.00746268656716418
5SrRNA:CR33378	134	2R	19756879	19757013	-	0.00746268656716418
5SrRNA:CR33379	134	2R	19756510	19756644	-	0.00746268656716418
5SrRNA:CR33380	134	2R	19756141	19756275	-	0.00746268656716418
5SrRNA:CR33381	134	2R	19755772	19755906	-	0.00746268656716418
5SrRNA:CR33382	134	2R	19755403	19755537	-	0.00746268656716418
5SrRNA:CR33383	134	2R	19755034	19755168	-	0.00746268656716418
5SrRNA:CR33384	134	2R	19754665	19754799	-	0.00746268656716418
5SrRNA:CR33385	134	2R	19754296	19754430	-	0.00746268656716418
5SrRNA:CR33386	134	2R	19753927	19754061	-	0.00746268656716418
5SrRNA:CR33387	134	2R	19753558	19753692	-	0.00746268656716418
5SrRNA:CR33388	134	2R	19753189	19753323	-	0.00746268656716418
5SrRNA:CR33389	134	2R	19752816	19752950	-	0.00746268656716418
5SrRNA:CR33390	134	2R	19752457	19752591	-	0.00746268656716418
5SrRNA:CR33391	133	2R	19752096	19752229	-	0.0075187969924812
5SrRNA:CR33392	134	2R	19751727	19751861	-	0.00746268656716418
5SrRNA:CR33393	134	2R	19751358	19751492	-	0.00746268656716418
5SrRNA:CR33394	134	2R	19750989	19751123	-	0.00746268656716418
5SrRNA:CR33395	134	2R	19750620	19750754	-	0.00746268656716418
5SrRNA:CR33396	134	2R	19750251	19750385	-	0.00746268656716418
5SrRNA:CR33397	134	2R	19749878	19750012	-	0.00746268656716418
5SrRNA:CR33398	134	2R	19749512	19749646	-	0.00746268656716418
5SrRNA:CR33399	134	2R	19749143	19749277	-	0.00746268656716418
5SrRNA:CR33400	134	2R	19748774	19748908	-	0.00746268656716418
5SrRNA:CR33401	134	2R	19748405	19748539	-	0.00746268656716418
5SrRNA:CR33402	134	2R	19748043	19748177	-	0.00746268656716418
5SrRNA:CR33403	134	2R	19747677	19747811	-	0.00746268656716418
5SrRNA:CR33404	134	2R	19747318	19747452	-	0.00746268656716418
5SrRNA:CR33405	133	2R	19746943	19747076	-	0.0075187969924812
5SrRNA:CR33406	134	2R	19746574	19746708	-	0.00746268656716418
5SrRNA:CR33407	134	2R	19746201	19746335	-	0.00746268656716418
5SrRNA:CR33408	134	2R	19745828	19745962	-	0.00746268656716418
5SrRNA:CR33409	134	2R	19745462	19745596	-	0.00746268656716418
5SrRNA:CR33410	134	2R	19745096	19745230	-	0.00746268656716418
5SrRNA:CR33411	134	2R	19744720	19744854	-	0.00746268656716418
5SrRNA:CR33412	134	2R	19744361	19744495	-	0.00746268656716418
5SrRNA:CR33413	134	2R	19743995	19744129	-	0.00746268656716418
5SrRNA:CR33414	134	2R	19743629	19743763	-	0.00746268656716418
5SrRNA:CR33415	134	2R	19743253	19743387	-	0.00746268656716418
5SrRNA:CR33417	134	2R	19742503	19742637	-	0.00746268656716418
5SrRNA:CR33418	134	2R	19742137	19742271	-	0.00746268656716418
5SrRNA:CR33419	134	2R	19741768	19741902	-	0.00746268656716418
5SrRNA:CR33420	134	2R	19741406	19741540	-	0.00746268656716418
5SrRNA:CR33421	134	2R	19741040	19741174	-	0.00746268656716418
5SrRNA:CR33422	134	2R	19740664	19740798	-	0.00746268656716418
5SrRNA:CR33423	134	2R	19740305	19740439	-	0.00746268656716418
5SrRNA:CR33424	134	2R	19739936	19740070	-	0.00746268656716418
5SrRNA:CR33425	134	2R	19739570	19739704	-	0.00746268656716418
5SrRNA:CR33426	134	2R	19739194	19739328	-	0.00746268656716418
5SrRNA:CR33427	134	2R	19738818	19738952	-	0.00746268656716418
5SrRNA:CR33428	134	2R	19738452	19738586	-	0.00746268656716418
5SrRNA:CR33429	134	2R	19738086	19738220	-	0.00746268656716418
5SrRNA:CR33430	134	2R	19737724	19737858	-	0.00746268656716418
5SrRNA:CR33431	134	2R	19737355	19737489	-	0.00746268656716418
5SrRNA:CR33432	134	2R	19736986	19737120	-	0.00746268656716418
5SrRNA:CR33433	134	2R	19736617	19736751	-	0.00746268656716418
5SrRNA:CR33434	134	2R	19736248	19736382	-	0.00746268656716418
5SrRNA:CR33435	134	2R	19735879	19736013	-	0.00746268656716418
5SrRNA:CR33436	134	2R	19735510	19735644	-	0.00746268656716418
5SrRNA:CR33437	134	2R	19735141	19735275	-	0.00746268656716418
5SrRNA:CR33438	134	2R	19734772	19734906	-	0.00746268656716418
5SrRNA:CR33439	134	2R	19734396	19734530	-	0.00746268656716418
5SrRNA:CR33440	134	2R	19734037	19734171	-	0.00746268656716418
5SrRNA:CR33441	134	2R	19733671	19733805	-	0.00746268656716418
5SrRNA:CR33442	134	2R	19733288	19733422	-	0.00746268656716418
5SrRNA:CR33443	134	2R	19732926	19733060	-	0.00746268656716418
5SrRNA:CR33444	134	2R	19732550	19732684	-	0.00746268656716418
5SrRNA:CR33445	134	2R	19732170	19732304	-	0.00746268656716418
5SrRNA:CR33446	134	2R	19731768	19731902	-	0.00746268656716418
5SrRNA:CR33447	134	2R	19731409	19731543	-	0.00746268656716418
5SrRNA:CR33448	134	2R	19731043	19731177	-	0.00746268656716418
5SrRNA:CR33449	134	2R	19730670	19730804	-	0.00746268656716418
5SrRNA:CR33450	134	2R	19730304	19730438	-	0.00746268656716418
5SrRNA:CR33451	134	2R	19729921	19730055	-	0.00746268656716418
5SrRNA:CR33452	134	2R	19729562	19729696	-	0.00746268656716418
7B2	1195	3R	5376780	5377975	5376933	0.000836820083682008
7SLRNA:CR32864	298	3R	6822498	6822796	-	0.00335570469798658
7SLRNA:CR42652	298	3R	6820133	6820431	-	0.00335570469798658
825-Oak	572	3L	19471656	19472228	19472176	0.00174825174825175
A16	1737	2L	13019575	13021312	13021177	0.000575705238917674
AANATL2	963	2L	6255859	6256822	6255877	0.00103842159916926
ABCB7	4999	3L	1618414	1623413	1618502	0.0002000400080016
ACC	17747	2R	7974115	7991862	7985133	5.63475516988787e-05
ACXA	4362	2L	12921091	12925453	12921115	0.000229252636405319
ACXB	4194	2L	12916814	12921008	12916917	0.000238435860753457
ACXC	4244	2L	12912530	12916774	12912590	0.000235626767200754
ACXD	6111	3L	2237608	2243719	2238429	0.000163639338897071
ACXE	4212	2L	12925611	12929823	12925620	0.000237416904083571
ADD1	7035	2R	11970686	11977721	11970983	0.000142146410803127
ADPS	5158	2R	14929703	14934861	14932978	0.00019387359441644
AGBE	3395	2R	13171401	13174796	13171521	0.000294550810014728
AGO1	14702	2R	13943387	13958089	13954806	6.80179567405795e-05
AGO2	6929	3L	15554113	15561042	15557933	0.000144320969836917
AGO3	135047	3L	23554593	23689640	23566843	7.40482942975409e-06
AIF	3635	2L	2151754	2155389	2152036	0.000275103163686382
AIMP1	1091	2R	8927014	8928105	8928098	0.000916590284142988
AIMP2	1709	3L	15583638	15585347	15583736	0.000585137507314219
AIMP3	877	2R	23544024	23544901	23544100	0.00114025085518814
ALiX	3644	3R	27696466	27700110	27699978	0.000274423710208562
AMPKalpha	3360	X	1375536	1378896	1375910	0.000297619047619048
AMPdeam	15125	X	13830741	13845866	13837983	6.61157024793388e-05
AOX1	5155	3R	15532137	15537292	15537074	0.000193986420950533
AOX2	4701	3R	15537713	15542414	15542388	0.000212720697723889
AOX3	5440	3R	15542748	15548188	15547393	0.000183823529411765
AOX4	4205	3R	15548628	15552833	15552771	0.000237812128418549
AP-1-2beta	3577	X	19731004	19734581	19731401	0.000279563880346659
AP-1gamma	9053	X	9108691	9117744	9110990	0.000110460620788689
AP-1mu	1813	3R	9557712	9559525	9559248	0.000551571980143409
AP-1sigma	3904	3R	23958651	23962555	23958797	0.000256147540983607
AP-2alpha	6747	2L	408030	414777	412823	0.000148214021046391
AP-2mu	2148	3R	22462455	22464603	22462604	0.000465549348230912
AP-2sigma	866	3R	21269209	21270075	21269952	0.00115473441108545
APC10	925	2R	17517261	17518186	17518108	0.00108108108108108
APC4	2936	X	9082931	9085867	9083055	0.000340599455040872
APC7	2611	X	6597088	6599699	6597426	0.000382995021064726
APP-BP1	2166	3L	11098412	11100578	11098686	0.000461680517082179
AQP	2091	2R	13212405	13214496	13213927	0.000478240076518412
ARY	1618	Y	702430	704048	702481	0.000618046971569839
ASPP	33294	2R	21217856	21251150	21238872	3.00354418213492e-05
ATP7	9732	X	11855022	11864754	11855353	0.00010275380189067
ATP8B	22237	3R	12068375	12090612	12082607	4.49700948869002e-05
ATPCL	7759	2R	15993531	16001290	15999962	0.000128882587962366
ATPsynB	1225	3L	9729999	9731224	9730069	0.000816326530612245
ATPsynC	3485	3R	31216145	31219630	31218989	0.000286944045911047
ATPsynCF6	844	3R	23355220	23356064	23355784	0.00118483412322275
ATPsynCF6L	689	3L	5011444	5012133	5012094	0.00145137880986938
ATPsynD	1271	3R	19095000	19096271	19095410	0.000786782061369001
ATPsynE	788	3R	14326947	14327735	14327292	0.00126903553299492
ATPsynF	733	2R	24599088	24599821	24599694	0.00136425648021828
ATPsynG	877	2L	10975522	10976399	10976289	0.00114025085518814
ATPsynGL	599	2L	7747275	7747874	7747382	0.00166944908180301
ATPsynO	1099	3R	15265591	15266690	15265662	0.000909918107370337
ATPsynbeta	3433	4	1031484	1034917	1031891	0.000291290416545296
ATPsynbetaL	2254	3L	16097834	16100088	16097905	0.000443655723158829
ATPsyndelta	4423	X	10212970	10217393	10213288	0.000226090888537192
ATPsynepsilonL	547	3R	10121773	10122320	10122027	0.00182815356489945
ATPsyngamma	1459	3R	29747704	29749163	29748746	0.000685400959561343
ATbp	2328	X	23106003	23108331	23106105	0.000429553264604811
Aac11	2976	2L	17474912	17477888	17477716	0.000336021505376344
Aatf	1764	2L	6717625	6719389	6717712	0.000566893424036281
Abd-B	45024	3R	16927212	16972236	16931604	2.22103766879886e-05
Abi	3158	3R	14119262	14122420	14122100	0.000316656111462951
Abl	32016	3L	16615866	16647882	16647142	3.12343828085957e-05
Abp1	2747	3L	13483533	13486280	13485856	0.000364033491081179
Ac13E	43401	X	15510877	15554278	15539413	2.30409437570563e-05
Ac3	15377	2L	21632587	21647964	21633628	6.50321909345126e-05
Ac76E	38673	3L	19939287	19977960	19949423	2.58578336306984e-05
Ac78C	35483	3L	21136447	21171930	21145842	2.81825099343348e-05
AcCoAS	9521	3L	21270722	21280243	21279784	0.000105030984140321
Acam	1223	3R	25811911	25813134	25812645	0.000817661488143908
Ace	36566	3R	13222951	13259517	13246131	2.73478094404638e-05
Acer	3807	2L	8521933	8525740	8522279	0.00026267402153927
Acf	5818	3R	31793981	31799799	31794369	0.000171880371261602
Ack	5971	3L	4108186	4114157	4110502	0.000167476134650812
Ack-like	9843	2R	13142834	13152677	13152621	0.000101595042161942
Acn	3462	2L	19045355	19048817	19045568	0.000288850375505488
Acon	4615	2L	21168570	21173185	21168773	0.000216684723726977
Acox57D-d	3034	2R	21389405	21392439	21389500	0.0003295978905735
Acox57D-p	2967	2R	21386309	21389276	21386683	0.000337040781934614
Acp1	975	2L	7740562	7741537	7741480	0.00102564102564103
Acp24A4	721	2L	3693184	3693905	3693859	0.0013869625520111
Acp26Aa	1013	2L	5892883	5893896	5893870	0.000987166831194472
Acp26Ab	564	2L	5892298	5892862	5892836	0.00177304964539007
Acp29AB	766	2L	8392456	8393222	8393210	0.00130548302872063
Acp32CD	951	2L	11015620	11016571	11015646	0.0010515247108307
Acp33A	339	2L	11591339	11591678	11591667	0.00294985250737463
Acp36DE	2979	2L	18356047	18359026	18359021	0.000335683115139308
Acp53C14a	756	2R	16747834	16748590	16748546	0.00132275132275132
Acp53C14b	645	2R	16748815	16749460	16749420	0.00155038759689922
Acp53C14c	719	2R	16750776	16751495	16751233	0.00139082058414465
Acp53Ea	532	2R	16749803	16750335	16750282	0.0018796992481203
Acp54A1	305	2R	17133445	17133750	17133524	0.00327868852459016
Acp62F	478	3L	2739750	2740228	2739774	0.00209205020920502
Acp63F	515	3L	3815839	3816354	3816344	0.00194174757281553
Acp65Aa	695	3L	6152050	6152745	6152678	0.00143884892086331
Acp76A	1269	3L	19050757	19052026	19052025	0.000788022064617809
Acp95EF	304	3R	24228975	24229279	24228993	0.00328947368421053
Acp98AB	174	3R	27694883	27695057	27694896	0.00574712643678161
Acph-1	2267	3R	29991144	29993411	29993143	0.000441111601235112
Acsl	17209	2R	8665813	8683022	8676474	5.81091289441571e-05
Act42A	1779	2R	6013910	6015689	6015399	0.000562113546936481
Act57B	2410	2R	20944021	20946431	20944118	0.0004149377593361
Act5C	4538	X	5900861	5905399	5902699	0.000220361392684002
Act79B	1980	3L	21985210	21987190	21985352	0.000505050505050505
Act87E	2392	3R	13425983	13428375	13426605	0.000418060200668896
Act88F	2208	3R	15439969	15442177	15440617	0.000452898550724638
Actbeta	7465	4	1077331	1084796	1083125	0.000133958472873409
Actn	18489	X	2023822	2042311	2035067	5.40862134241982e-05
Actn3	1910	3R	16975885	16977795	16977618	0.000523560209424084
Acyp	569	2L	13912083	13912652	13912202	0.00175746924428822
Acyp2	799	3R	15792688	15793487	15792836	0.00125156445556946
AdSL	2340	3R	17018780	17021120	17020993	0.000427350427350427
AdSS	5913	3R	20824667	20830580	20830445	0.000169118890580078
Ada	1120	3R	9065183	9066303	9065240	0.000892857142857143
Ada1-1	1156	2L	11996809	11997965	11996905	0.000865051903114187
Ada1-2	1152	2L	11992902	11994054	11992994	0.000868055555555556
Ada2a	2644	3R	18252843	18255487	18255379	0.00037821482602118
Ada2b	3883	3R	8236632	8240515	8240422	0.000257532835436518
Ada3	2657	X	18085761	18088418	18085913	0.000376364320662401
Adam	1968	2R	9968929	9970897	9969221	0.000508130081300813
AdamTS-A	33947	3R	15442246	15476193	15463095	2.9457684036881e-05
Adar	14340	X	1773725	1788065	1778640	6.97350069735007e-05
Adat1	3114	2L	13808360	13811474	13811449	0.000321130378933847
Adck	2203	2R	24611703	24613906	24612176	0.000453926463912846
AdenoK	2973	3L	13019715	13022688	13022453	0.000336360578540195
Adf1	5820	2R	6662265	6668085	6662596	0.000171821305841924
Adgf-A	12427	3L	17751731	17764158	17754317	8.04699444757383e-05
Adgf-A2	9222	3L	17754936	17764158	17756782	0.000108436347863804
Adgf-B	1755	3L	17748833	17750588	17750492	0.00056980056980057
Adgf-C	2372	3R	13706757	13709129	13706935	0.000421585160202361
Adgf-D	2318	3R	13703084	13705402	13705326	0.000431406384814495
Adgf-E	1957	2R	14656798	14658755	14658664	0.000510986203372509
Adh	3350	2L	14615552	14618902	14616340	0.000298507462686567
Adhr	3350	2L	14615552	14618902	14617549	0.000298507462686567
Adi1	1059	3L	10663376	10664435	10663447	0.000944287063267233
AdipoR	4153	3R	22543693	22547846	22547076	0.000240789790512882
Adk1	3760	3L	12200322	12204082	12203720	0.000265957446808511
Adk2	1670	2R	24024207	24025877	24024320	0.000598802395209581
Adk3	2243	3R	10887345	10889588	10888309	0.000445831475702185
AdoR	14750	3R	30134856	30149606	30138524	6.77966101694915e-05
Ady43A	2752	2R	7243024	7245776	7245300	0.000363372093023256
Aef1	5217	3L	21433422	21438639	21435221	0.000191681042744873
Afti	6498	3R	14320191	14326689	14326280	0.00015389350569406
Ag5r	1887	X	14784664	14786551	14786209	0.000529941706412295
Ag5r2	1090	X	14782962	14784052	14784005	0.000917431192660551
Ahcy13	2906	X	15450261	15453167	15450392	0.000344115622849277
Ahcy89E	3719	3R	16978439	16982158	16981688	0.000268889486421081
Ak6	833	2R	12569014	12569847	12569725	0.00120048019207683
Akap200	15607	2L	8415690	8431297	8426912	6.40738130326136e-05
Akh	603	3L	4141467	4142070	4141587	0.00165837479270315
AkhR	4900	2L	6711286	6716186	6714690	0.000204081632653061
Akt1	6442	3R	16099228	16105670	16101188	0.000155231294628997
AlaRS	3502	2L	8378262	8381764	8381441	0.000285551113649343
AlaRS-m	3754	3L	5146098	5149852	5146196	0.00026638252530634
Alas	1985	2R	23964772	23966757	23964886	0.000503778337531486
Ald	7522	3R	26254069	26261591	26258019	0.00013294336612603
Aldh	4178	2L	9387389	9391567	9387769	0.000239348970799426
Aldh-III	10283	2R	7466879	7477162	7473738	9.72478848585043e-05
Alg-2	4547	3R	3623143	3627690	3623218	0.000219925225423356
Alg10	1649	3L	11164971	11166620	11165077	0.000606428138265616
Alh	29589	3R	7094596	7124185	7123937	3.37963432356619e-05
Alk	14718	2R	16625293	16640011	16634652	6.79440141323549e-05
AlkB	1353	X	15858134	15859487	15859308	0.00073909830007391
Alp1	2592	3L	21442227	21444819	21444749	0.000385802469135802
Alp2	1982	2R	22206005	22207987	22207968	0.000504540867810293
Alp4	3611	3R	31048929	31052540	31050778	0.00027693159789532
Alr	1853	X	19748314	19750167	19748914	0.000539665407447383
Als2	5361	3L	21674394	21679755	21679497	0.000186532363365044
Ama	2668	3R	6762593	6765261	6763841	0.000374812593703148
Amnionless	1892	2L	287252	289144	288918	0.000528541226215645
Amph	18464	2R	12593604	12612068	12594001	5.4159445407279e-05
Amt	1974	3R	15247163	15249137	15249136	0.000506585612968592
Amun	5445	X	11710120	11715565	11713563	0.000183654729109275
Amy-d	1605	2R	17124764	17126369	17124801	0.000623052959501558
Amy-p	1667	2R	17118636	17120303	17120269	0.000599880023995201
Amyrel	1604	2R	16651095	16652699	16652696	0.000623441396508728
Ance	3567	2L	13905645	13909212	13906588	0.000280347631062518
Ance-2	2386	2L	13909333	13911719	13909641	0.000419111483654652
Ance-3	41463	2L	13914725	13956188	13915009	2.41178882377059e-05
Ance-4	2414	2R	9039728	9042142	9041567	0.000414250207125104
Ance-5	2395	2R	24888628	24891023	24890910	0.000417536534446764
Andorra	946	X	18178526	18179472	18179433	0.00105708245243129
Ank	14775	4	115074	129849	129425	6.76818950930626e-05
Ank2	63006	3L	7655389	7718395	7713160	1.58715043011777e-05
Ankle2	7375	X	17571854	17579229	17578743	0.000135593220338983
Anp	434	3R	30209948	30210382	30209986	0.00230414746543779
Ant2	7953	X	10778954	10786907	10780516	0.000125738714950333
Antp	102975	3R	6896253	6999228	6909909	9.7110949259529e-06
AnxB10	2069	X	20171445	20173514	20173379	0.000483325277912035
AnxB11	5307	X	16416958	16422265	16420060	0.000188430374976446
AnxB9	5676	3R	21065241	21070917	21067471	0.000176180408738548
Aos1	1289	3R	12432533	12433822	12433730	0.000775795190069822
Apc	12447	3R	28832301	28844748	28840760	8.03406443319675e-05
Apc2	4298	3R	24163966	24168264	24164175	0.000232666356444858
ApepP	2189	2L	16908229	16910418	16910156	0.000456829602558246
Apf	612	2L	9938178	9938790	9938737	0.00163398692810458
Aplip1	3022	3L	1196317	1199339	1196544	0.000330906684315023
Apoltp	21847	2L	9634179	9656026	9641747	4.57728749942784e-05
Appl	48543	X	530501	579044	531800	2.06002925241538e-05
Aprt	1224	3L	1883795	1885019	1884784	0.000816993464052288
Aps	4347	3L	10894776	10899123	10896876	0.000230043708304578
Arc1	2370	2R	14357927	14360297	14360199	0.000421940928270042
Arc2	901	2R	14361924	14362825	14362041	0.00110987791342952
Arc42	1572	3R	19877737	19879309	19877879	0.000636132315521629
Archease	1786	3R	21661186	21662972	21662863	0.000559910414333707
Arf102F	1158	4	1124167	1125325	1124266	0.000863557858376511
Arf51F	2989	2R	15322501	15325490	15323485	0.000334560053529609
Arf79F	3851	3L	22868380	22872231	22869988	0.000259672812256557
ArfGAP1	2554	3L	12415026	12417580	12417211	0.000391542678151919
ArfGAP3	3264	3L	22714313	22717577	22717050	0.000306372549019608
Arfip	2584	3R	11232429	11235013	11234729	0.000386996904024768
Arfrp1	1285	X	9107069	9108354	9107146	0.000778210116731518
ArgRS	2376	X	15841769	15844145	15844080	0.000420875420875421
ArgRS-m	3105	3R	7887045	7890150	7887108	0.000322061191626409
Argk	17246	3L	9048781	9066027	9050345	5.79844601646759e-05
Arl1	1227	3L	15983135	15984362	15983278	0.000814995925020375
Arl2	772	3R	8341100	8341872	8341180	0.00129533678756477
Arl4	2041	4	177348	179389	179328	0.000489955903968643
Arl5	1338	3L	8298501	8299839	8299289	0.000747384155455904
Arl6	879	2R	19444179	19445058	19444218	0.00113765642775882
Arp1	2489	3R	12691743	12694232	12691823	0.000401767778224186
Arp10	1645	X	19644531	19646176	19645915	0.00060790273556231
Arp2	5678	X	16548290	16553968	16553390	0.00017611835153223
Arp3	2495	3L	8113407	8115902	8115724	0.000400801603206413
Arp5	2377	3R	18185498	18187875	18185821	0.000420698359276399
Arp53D	1430	2R	16774246	16775676	16774263	0.000699300699300699
Arp6	1346	X	15735774	15737120	15737032	0.000742942050520059
Arp8	2421	X	17858379	17860800	17860725	0.000413052457662123
Arpc1	1800	2L	13827941	13829741	13829417	0.000555555555555556
Arpc2	5970	2L	20417057	20423027	20417595	0.00016750418760469
Arpc3A	1373	3R	15834648	15836021	15834767	0.000728332119446468
Arpc3B	1281	X	17104571	17105852	17105610	0.00078064012490242
Arpc4	779	2L	6125132	6125911	6125250	0.00128369704749679
Arpc5	1131	2L	2580292	2581423	2580370	0.000884173297966401
Arr1	3038	2L	18078269	18081307	18078732	0.00032916392363397
Arr2	1675	3L	8647261	8648936	8648824	0.000597014925373134
Ars2	4797	2R	6080828	6085625	6085224	0.000208463623097769
Art1	1745	3R	10786481	10788226	10788113	0.000573065902578797
Art2	3628	2L	4277696	4281324	4279289	0.000275633958103638
Art3	1803	3R	15227605	15229408	15229074	0.000554631170271769
Art4	3244	3R	9982816	9986060	9985678	0.00030826140567201
Art6	1158	3R	13944654	13945812	13945781	0.000863557858376511
Art7	2350	2R	23076688	23079038	23078972	0.000425531914893617
Art8	1265	2L	11009821	11011086	11010991	0.000790513833992095
Art9	1222	3R	13942238	13943460	13943401	0.000818330605564648
Asap	8715	2R	8114286	8123001	8122384	0.000114744693057946
Asator	19585	4	469409	488994	481261	5.10594842992086e-05
Asciz	2464	3L	3163786	3166250	3165074	0.000405844155844156
Ask1	6311	3R	19879719	19886030	19879925	0.00015845349389954
AsnRS	2485	2L	19129469	19131954	19131829	0.000402414486921529
AsnRS-m	1605	2R	17001994	17003599	17002033	0.000623052959501558
AsnS	1855	3L	21173118	21174973	21173201	0.000539083557951483
AspRS	6164	2R	12877004	12883168	12880791	0.000162232316677482
AspRS-m	5015	2L	16827078	16832093	16827725	0.000199401794616152
Asph	6665	2R	16110331	16116996	16110621	0.000150037509377344
AstA	4541	3R	24760530	24765071	24761773	0.000220215811495265
AstA-R1	92188	X	3574536	3666724	3645472	1.08473987937693e-05
AstA-R2	7673	3R	28737109	28744782	28744024	0.000130327121073895
AstC	5234	2L	11076165	11081399	11077220	0.00019105846388995
AstC-R1	16068	3L	18560258	18576326	18573841	6.2235499128703e-05
AstC-R2	17420	3L	18485137	18502557	18488803	5.74052812858783e-05
AstCC	1770	2L	11083459	11085229	11085169	0.000564971751412429
Asx	8535	2R	14503958	14512493	14505248	0.000117164616285882
Atac1	1229	2L	6959099	6960328	6960252	0.00081366965012205
Atac2	2673	2L	18609576	18612249	18612177	0.000374111485222596
Atac3	3007	3L	324985	327992	327640	0.00033255736614566
Ate1	2424	2R	20254966	20257390	20257281	0.000412541254125413
Atet	11863	2L	4333913	4345776	4336675	8.42957093483942e-05
Atf-2	1401	2R	24870108	24871509	24870211	0.000713775874375446
Atf3	32544	X	1242740	1275284	1251596	3.07276302851524e-05
Atf6	10023	2R	5144733	5154756	5148180	9.9770527786092e-05
Atg1	20687	3L	12784429	12805116	12804443	4.83395369072364e-05
Atg10	3347	2R	7832171	7835518	7833939	0.000298775022408127
Atg101	1849	X	18791668	18793517	18791899	0.000540832882639265
Atg12	592	3L	12136967	12137559	12137017	0.00168918918918919
Atg13	3002	3R	8349815	8352817	8350135	0.00033311125916056
